timestamp,speaker,words,tags
,Megan,That's awesome. We've talked a lot about your journey and your folks. But you also have the experience of singing with your siblings—,
,Christina,I do.,
,Megan,—who we've yet to chat about.,
,Christina,Yeah.,
,Megan,Tell me a little bit about the quartets that you've sung in with Sam and Josh and what your sibling dynamic kind of looks like in those spaces,
00:18:05,Christina,"Yeah, for sure. So I've only sung with Joshua officially in Sweet & Sour, and that is a more recent quartet. Samantha and I go way back. [both laugh]",
,Megan,Waaay back.,
,Christina,"We go way back. We had more opportunities. We didn't— there wasn't a place for mixed quartet singing yet, so Samantha and I sang more together. Our first quartet together was a quartet called Sister Act, and it was comprised of Samantha on tenor, and me on baritone, and sister pairings Andrea and Amanda on lead and bass respectively. And we were all pretty young; we were all around the same age. And this was right after Cloud Nine, I think. So it was around 2012/2013 is when I was in that quartet with Samantha, and it was definitely a learning experience. She was still in high school at the time, and I was just out of college. So it was— we were all just kind— of lives shifting and changing.",family; quartet
,,"And while we were with Sister Act, we were both approached to form another quartet with Katrine Dickau, who was a good family friend of ours, and our mom, and that became Taken For Granite. So we said, ""This was a wonderful experience, Sister Act. We love you both very much, but we're going to go and do this now."" And they gave their blessing. And then we competed the first time in 2014. We came in third in the same contest that Moonstruck came in first. And then 2015, we came in second by like two points. And then we came in first in 2016 with a sizable difference, which was what I would want to have instead of a really, really, really close contest, which, you know, sometimes that happens too, and the win is still worth it, [laughs] but it was good to feel that we deserved it and that it was just a good reward there. So that was amazing, an amazing experience. And I'm excited to see where High Gear goes from this point too. But that's Taken For Granite, and then we're still technically active even though we don't rehearse. But then Samantha and I started Sweet & Sour with our brother and then Mert, and since then we've had to take a break because Samantha's with GQ. So yeah.",family; quartet; contest
00:20:43,Megan,Hard life.,
00:20:44,Christina,I know. [laughs] Wow! Pretty exciting for her though.,
00:20:48,Megan,Yeah.,
00:20:48,Christina,Yeah.,
00:20:49,Megan,"You mentioned the ""Everyone in Harmony"" initiative as, you know, having this impact on, you know, where you get to sing and who you get to sing with. Can you tell us, tell me a little bit more about kind of like what that meant for you and for your family and like all of that?",
00:21:05,Christina,Yeah. So I've been a fan of the Barbershop Harmony Society when it was still SPEBSQUA [Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America]. And I used to watch the contest DVDs like I would a regular movie at home. Like these people were celebrities to me because growing up that's the content I had. And I—,
00:21:23,Megan,"""American Idol"" who?",
00:21:23,Christina,"Yeah, exactly. I want to be like that quartet. So I definitely fell in love with BHS and with that organization just in a whole. And I always wondered, I— not even! I just, I had a feeling that I probably never will be able to sing in that organization because it's for the boys and I'm not a boy. I even, in like middle school, cause I used to go to the Granite Statesmen rehearsals all. The. time and would just hang out with the guys, and we would sing tags at the breaks and afterwards and I would go to afterglow with them, and I would sing their songs with them too in baritone in their key. Like I was definitely the barberbrat. And it— I— they wanted to dress me up as a guy and bring me out on stage in a quartet. And I said, ""I would love nothing more than to just be that."" So I definitely had that thought in my head, even as a kid. But I'm— once they were opening it up and saying everyone can sing, I— it's been a dream come true, truly. Like with the experiences with Sweet & Sour, especially, and making the top 20 a couple times too. It's just like, that was surreal. Just to watch it as a kid and like say that this is my ""American Idol,"" to be part of that contest in that capacity was just, no words can really describe it.",everyone in harmony
00:22:55,Megan,"Yeah. Tell me a little bit about your International Contest experience with Sweet & Sour. What was— you, we were there in what New Orleans...? Where were we?",
00:23:05,Christina,"We, so.",
00:23:05,Megan,Cleveland!,
00:23:06,Christina,"Yep, we were in Cleveland last. That was, that was 2024, right?",
,Megan,Mmhmm.,
,Christina,"Yeah, and that's when we came in 16th. Still surreal. Just crazy. Cleveland was fun. We knew it was kind of coming to an end for the time being because Samantha already accepted GQ's invite to sing with them. And we kind of knew that this was going to be our last hoorah for a while. So we went in guns blazing and not caring really because there was no risk. There's nothing like, ""This is it for the time being. We'll drop the mic and go."" We debuted ""Lover Come Back"" at that contest, and we were not expecting the room to go as nuts as it did. It's kind of wild. Like, and you can't actually hear it on the recording as well as it was in person. Like in person, it was like, it was shocking.",contest; quartet
,Megan,I was on my feet. It was crazy.,
,Christina,"It was really fun. It was a— that was a very cool contest to be a part of. The previous year, '23, we made the 20 for the first time. We came in 18th, and that was the year that we had to start the quarterfinals where we were drawn first to sing out of 60 some odd quartets. So it was bright and early morning on that Tuesday that week. And we came out guns blazing. We were like, ""Let's set the bar. Let's do it."" So I'm glad it paid off, but yeah, it's just been a crazy journey with them. And even from the beginning when we didn't really have a home to compete, cause we were competing in 2018 and 2019 through BHS and actually 2017 as well. We were at the fall contest in 2017 as like— I don't know if MBHA [Mixed Barbershop Harmony Association] was around at that point, but it was, they opened it up to mixed quartets, and we did awful. [laughs] That recording is somewhere, and it is real bad. And then we went to Area One one year as well, which is up in Nova Scotia area, and we competed out of there for MBHA specifically, and that was cool to get those, like, that experience and be a part of that group. But yeah, it's been, it's been a fun journey to see us grow score wise, as well as just as people and as musicians.",contest; quartet
00:25:50,Megan,You've also had the opportunity to work with some young singers with Sweet & Sour. Can you tell me a little bit about like sharing your love of barbershop with the next generation and like being a part of that educational space?,
00:26:04,Christina,I've been both an attendee and on staff and on faculty — all of the things — for Harmony EXplosion Northeast. [Megan shows camera Harmony EXplosion Northeast shirt] Yep. Yep. Repping the shirts here.,
,Megan,Shameless promotion.,
,Christina,"I attended as a kid, and I kind of got grandfathered in. And this happened a lot when I was a kid of like, camps that were only for high schoolers, but I was younger, but I was already a barbershopper, so like the people in charge were like, ""Ah, you can do it."" So I was— a lot of the time I was the youngest person in the room, but I didn't mind cause I had the knowledge already. And I just, I love sharing it with people, especially young people and especially like spreading the word and not necessarily pushing them to join an organization per se, just to sing barbershop and just have fun and learn new things. And I think that's why tags are great. Cause you can just pull it out real quick and teach it to anyone. And I think especially with younger people, they're sponges, and they just latch on immediately, and it just makes the experience even more exciting. I love the experience of seeing someone sing in a quartet for the first time and have the chords ring around them if they're just posting or even if they're singing a different part and like. Their eyes get wide and it's like, ""Ah, you caught the bug and you're in it now."" Once you catch it, you can't quit. So that's one of my favorite things to experience. Yeah.",
00:27:38,Megan,"How many summers were you doing like HXNE as a teen? Like, was that just like a part of your routine?",
,Christina,"Yeah. It was every summer, basically until I aged out. But even when I aged out, I was invited back as part of a pickup quartet for the first year that I was not eligible to actually be there with Jen Wheaton. And it was Mary Nasto at the time, I don't know her last name now. And is it Morgan Lacroix? It might've been Morgan, I can't remember, It's been so long. That was so many years ago. And then I came back as chorus manager for the women's chorus. So I was kind of there just for the faculty part, I was there for the quartet and whatever they needed, but I was also in the room, so I was there watching the rehearsals all weekend anyway. And Sweet & Sour has also been on faculty as a quartet as well. So it's just, it's very cool to just still be involved.",
00:28:39,Megan,Yeah. You're just a part of the fabric of HXNE. It's so great that it is back in the way that it is.,
